epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4409,2.18685,4.31929,1.23149,0.39654,0.05477,0.05841,0.03345,2.16713,3.70054,1.08647,0.000194559,0.000194559,0.000194559
2,76.735,2.23923,3.53721,1.11998,0.57717,0.09404,0.08794,0.04728,2.18233,2.83312,1.08254,0.000385403,0.000385403,0.000385403
3,115.226,2.23318,2.9378,1.09614,0.73151,0.10543,0.10142,0.05289,2.17541,2.3429,1.0697,0.000571074,0.000571074,0.000571074
4,161.859,2.17167,2.56563,1.09436,0.57452,0.14653,0.11671,0.0635,2.00781,2.10134,1.05332,0.000564715,0.000564715,0.000564715
5,200.413,2.09642,2.34435,1.07804,0.52385,0.16122,0.13757,0.07975,1.98028,1.91538,1.04926,0.000556954,0.000556954,0.000556954
6,241.607,2.09228,2.15867,1.07131,0.44982,0.20753,0.16691,0.09925,1.93665,1.84095,1.04813,0.000549192,0.000549192,0.000549192
7,278.846,2.07028,2.05318,1.07287,0.15686,0.24738,0.17233,0.10385,1.90933,1.77351,1.038,0.00054143,0.00054143,0.00054143
8,315.437,2.00387,1.98938,1.06199,0.29565,0.25816,0.19747,0.12194,1.90996,1.745,1.03314,0.000533669,0.000533669,0.000533669
9,365.595,1.98039,1.91716,1.04364,0.43789,0.27115,0.23098,0.14465,1.84126,1.68321,1.01718,0.000525907,0.000525907,0.000525907
10,402.286,1.99527,1.91079,1.04936,0.57295,0.26261,0.25009,0.15968,1.80884,1.62902,1.01021,0.000518146,0.000518146,0.000518146
11,442.3,1.94248,1.80712,1.03462,0.56122,0.28997,0.2603,0.16128,1.80596,1.61844,1.01213,0.000510384,0.000510384,0.000510384
12,479.991,1.90104,1.77587,1.02804,0.55066,0.2846,0.26529,0.16681,1.79171,1.59732,1.0076,0.000502622,0.000502622,0.000502622
13,517.509,1.89138,1.74966,1.02935,0.49879,0.29293,0.27305,0.17213,1.84818,1.56337,1.0128,0.000494861,0.000494861,0.000494861
14,554.715,1.86283,1.68984,1.01908,0.62617,0.27427,0.30418,0.18775,1.78545,1.52484,1.00393,0.000487099,0.000487099,0.000487099
15,598.223,1.87002,1.67844,1.02244,0.61475,0.33093,0.32361,0.21331,1.74123,1.48907,0.99811,0.000479338,0.000479338,0.000479338
16,634.458,1.88493,1.66422,1.01683,0.54926,0.32841,0.34138,0.22201,1.7385,1.47712,0.99351,0.000471576,0.000471576,0.000471576
17,674.951,1.81056,1.61808,1.01578,0.40588,0.37528,0.35587,0.23793,1.73978,1.44316,0.99599,0.000463814,0.000463814,0.000463814
18,743.361,1.8064,1.58821,1.00708,0.39309,0.381,0.36396,0.24222,1.74269,1.43503,0.99429,0.000456053,0.000456053,0.000456053
19,783.542,1.82857,1.57258,1.00954,0.64667,0.3372,0.36405,0.23724,1.77015,1.46404,1.00018,0.000448291,0.000448291,0.000448291
20,820.561,1.76699,1.53354,1.00374,0.5202,0.3639,0.36898,0.2478,1.71879,1.42205,0.99113,0.00044053,0.00044053,0.00044053
21,857.149,1.79117,1.53485,1.00131,0.57963,0.35647,0.40175,0.2715,1.69945,1.40206,0.98615,0.000432768,0.000432768,0.000432768
22,897.467,1.78039,1.50331,0.99672,0.62628,0.35081,0.41384,0.2699,1.73684,1.38231,0.99387,0.000425006,0.000425006,0.000425006
23,940.182,1.77189,1.49326,0.99815,0.64926,0.35722,0.42167,0.28462,1.69588,1.38516,0.98797,0.000417245,0.000417245,0.000417245
24,987.952,1.78548,1.48528,0.99217,0.59668,0.40526,0.43051,0.29343,1.67587,1.33008,0.98226,0.000409483,0.000409483,0.000409483
25,1168.87,1.75285,1.46199,0.98661,0.61812,0.3947,0.42996,0.29147,1.70115,1.33557,0.98667,0.000401722,0.000401722,0.000401722
26,1205.89,1.72823,1.43305,0.98293,0.62317,0.38484,0.4529,0.30813,1.64319,1.32514,0.97328,0.00039396,0.00039396,0.00039396
27,1243.21,1.72916,1.41922,0.98149,0.48593,0.45525,0.45505,0.30998,1.67145,1.31611,0.97771,0.000386198,0.000386198,0.000386198
28,1283.8,1.73109,1.42598,0.98432,0.58445,0.39641,0.45717,0.3112,1.6884,1.31831,0.98033,0.000378437,0.000378437,0.000378437
29,1320.22,1.72195,1.40599,0.98447,0.51551,0.45497,0.47672,0.33224,1.65423,1.28935,0.97829,0.000370675,0.000370675,0.000370675
30,1356.96,1.70287,1.38976,0.97485,0.53317,0.45583,0.48024,0.32681,1.67237,1.27712,0.97825,0.000362914,0.000362914,0.000362914
31,1410.35,1.7324,1.38529,0.97763,0.5325,0.4822,0.48931,0.33789,1.62864,1.24564,0.96951,0.000355152,0.000355152,0.000355152
32,1459.93,1.71104,1.34759,0.97712,0.59181,0.44234,0.49221,0.33578,1.62201,1.24048,0.96473,0.00034739,0.00034739,0.00034739
33,1496.82,1.68259,1.34592,0.97261,0.5645,0.45383,0.49082,0.33954,1.6312,1.26034,0.97123,0.000339629,0.000339629,0.000339629
34,1545.52,1.68436,1.32855,0.97323,0.55828,0.48003,0.49449,0.33862,1.61438,1.25933,0.96713,0.000331867,0.000331867,0.000331867
35,1576,1.6418,1.31414,0.97235,0.57115,0.4717,0.49474,0.33744,1.61175,1.22587,0.96477,0.000324106,0.000324106,0.000324106
