epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.4,2.15678,4.18827,1.25044,0.03443,0.13679,0.04981,0.02482,2.17532,3.60017,1.10481,0.000193118,0.000193118,0.000193118
2,378.107,2.276,3.14693,1.12809,0.62241,0.08629,0.0716,0.03746,2.16597,2.56475,1.09149,0.000381413,0.000381413,0.000381413
3,508.467,2.19647,2.61158,1.09114,0.64873,0.11388,0.10472,0.05898,2.03265,2.20808,1.07573,0.000561947,0.000561947,0.000561947
4,645.989,2.13978,2.3092,1.06919,0.59277,0.15842,0.12786,0.07033,2.02688,2.07117,1.07014,0.000553073,0.000553073,0.000553073
5,816.511,2.04664,2.11769,1.0611,0.59263,0.16409,0.14177,0.08177,1.9491,1.84424,1.04912,0.00054143,0.00054143,0.00054143
6,971.919,2.02862,2.01748,1.05184,0.55683,0.19571,0.16436,0.09865,1.92415,1.84501,1.03175,0.000529788,0.000529788,0.000529788
7,1023.13,2.0139,1.95105,1.04876,0.52005,0.24458,0.19725,0.12141,1.85587,1.72568,1.02911,0.000518146,0.000518146,0.000518146
8,1163.54,1.93301,1.8362,1.02997,0.56008,0.25635,0.23417,0.14814,1.86201,1.69254,1.02147,0.000506503,0.000506503,0.000506503
9,1250.2,1.92915,1.78546,1.02247,0.54505,0.3036,0.26133,0.16602,1.80899,1.60466,1.01584,0.000494861,0.000494861,0.000494861
10,1352.58,1.88026,1.72824,1.01504,0.51191,0.28876,0.26695,0.17274,1.78545,1.58476,1.01817,0.000483218,0.000483218,0.000483218
11,1533.51,1.87801,1.7019,1.01515,0.60267,0.28493,0.2929,0.18864,1.78524,1.54481,1.0115,0.000471576,0.000471576,0.000471576
12,1730.88,1.8725,1.6785,1.01186,0.48165,0.34,0.31037,0.20732,1.7547,1.52154,1.00459,0.000459934,0.000459934,0.000459934
13,1816.93,1.84266,1.63772,1.00314,0.42348,0.33924,0.32909,0.20827,1.78963,1.48315,1.00871,0.000448291,0.000448291,0.000448291
14,2257.8,1.83802,1.60379,0.99972,0.56687,0.34252,0.35378,0.23672,1.7298,1.44419,0.99192,0.000436649,0.000436649,0.000436649
15,2340.28,1.80289,1.54896,1.00176,0.53639,0.33947,0.35265,0.23285,1.72454,1.42018,0.99645,0.000425006,0.000425006,0.000425006
16,2391.03,1.80766,1.54436,0.99204,0.58185,0.33353,0.35822,0.23488,1.71128,1.40787,0.98997,0.000413364,0.000413364,0.000413364
17,2478.5,1.78308,1.50765,0.98789,0.61932,0.35355,0.38167,0.25381,1.74886,1.38959,0.99468,0.000401722,0.000401722,0.000401722
18,2572.4,1.78247,1.4964,0.99163,0.5929,0.35044,0.38348,0.26068,1.68968,1.37977,0.98492,0.000390079,0.000390079,0.000390079
19,2732.94,1.7876,1.48882,0.99471,0.55218,0.38826,0.40752,0.27852,1.68633,1.36201,0.9804,0.000378437,0.000378437,0.000378437
20,2822.16,1.75193,1.4641,0.98539,0.56243,0.38194,0.41773,0.2824,1.65592,1.32743,0.98271,0.000366794,0.000366794,0.000366794
21,3087.54,1.7278,1.43783,0.97404,0.469,0.42417,0.43192,0.29536,1.65046,1.2977,0.9776,0.000355152,0.000355152,0.000355152
22,3228.19,1.75105,1.42523,0.98398,0.59841,0.42532,0.44252,0.29972,1.66034,1.31038,0.97412,0.00034351,0.00034351,0.00034351
23,3299.66,1.74671,1.40685,0.98005,0.56535,0.41024,0.45431,0.31179,1.63476,1.30956,0.97186,0.000331867,0.000331867,0.000331867
24,3484.58,1.70674,1.38764,0.97663,0.57183,0.43476,0.45226,0.31143,1.63745,1.28661,0.97176,0.000320225,0.000320225,0.000320225
25,3609.18,1.69678,1.36199,0.97194,0.57823,0.42965,0.46478,0.31542,1.63072,1.2803,0.96711,0.000308582,0.000308582,0.000308582
26,3687.81,1.68533,1.33948,0.9685,0.6717,0.43204,0.46695,0.32509,1.61084,1.25861,0.96981,0.00029694,0.00029694,0.00029694
27,3853.83,1.67533,1.34022,0.96469,0.63089,0.4153,0.49473,0.34209,1.61118,1.24777,0.96604,0.000285298,0.000285298,0.000285298
28,3912.71,1.68211,1.32222,0.96636,0.60747,0.44671,0.49052,0.33448,1.61452,1.24935,0.96399,0.000273655,0.000273655,0.000273655
29,4021.62,1.69184,1.33813,0.96577,0.53301,0.49057,0.49787,0.34131,1.59847,1.23156,0.96496,0.000262013,0.000262013,0.000262013
30,4102.72,1.69445,1.32736,0.97139,0.63384,0.45656,0.4904,0.33573,1.62247,1.22106,0.96621,0.00025037,0.00025037,0.00025037
31,4152.53,1.66558,1.29897,0.96192,0.62039,0.46445,0.49578,0.34078,1.59057,1.20985,0.96086,0.000238728,0.000238728,0.000238728
32,4331.36,1.67759,1.30976,0.96661,0.56185,0.50359,0.51226,0.34604,1.62805,1.21902,0.9704,0.000227086,0.000227086,0.000227086
33,4457.56,1.66555,1.28089,0.95577,0.61108,0.49262,0.52391,0.36332,1.58304,1.17539,0.95874,0.000215443,0.000215443,0.000215443
34,4604.78,1.66151,1.27909,0.95659,0.69233,0.46955,0.52295,0.36625,1.558,1.1828,0.95806,0.000203801,0.000203801,0.000203801
35,4697.58,1.65619,1.26466,0.9514,0.60052,0.51215,0.52957,0.36214,1.60244,1.18812,0.96281,0.000192158,0.000192158,0.000192158
36,4947.23,1.61412,1.24833,0.95034,0.56932,0.50048,0.52658,0.36455,1.58245,1.19377,0.95595,0.000180516,0.000180516,0.000180516
37,4997.37,1.63674,1.24611,0.95025,0.60474,0.49255,0.53843,0.37494,1.57694,1.16618,0.95689,0.000168874,0.000168874,0.000168874
38,5165.46,1.64937,1.25073,0.95744,0.60368,0.52719,0.55731,0.39218,1.56157,1.15081,0.95646,0.000157231,0.000157231,0.000157231
39,5276.97,1.6256,1.22152,0.95466,0.63542,0.51363,0.55963,0.38891,1.5891,1.14754,0.95813,0.000145589,0.000145589,0.000145589
40,5426.86,1.62922,1.22543,0.94735,0.5708,0.53343,0.55363,0.3838,1.6137,1.15984,0.96278,0.000133946,0.000133946,0.000133946
41,5471.55,1.71902,1.40151,0.97811,0.60879,0.49533,0.52477,0.36987,1.58758,1.22118,0.95999,0.000122304,0.000122304,0.000122304
42,5527.96,1.65881,1.33308,0.96398,0.62526,0.50293,0.54362,0.37846,1.57144,1.19826,0.9572,0.000110662,0.000110662,0.000110662
43,5569.63,1.65571,1.30875,0.95678,0.61489,0.48922,0.53553,0.37471,1.55131,1.19897,0.95524,9.90192e-05,9.90192e-05,9.90192e-05
44,5621.85,1.64458,1.27317,0.95328,0.61558,0.53248,0.55859,0.39001,1.57163,1.16692,0.95627,8.73768e-05,8.73768e-05,8.73768e-05
45,5679.32,1.59992,1.23829,0.94905,0.64934,0.51052,0.56336,0.39479,1.54433,1.162,0.9532,7.57344e-05,7.57344e-05,7.57344e-05
46,5740.31,1.62509,1.24621,0.95033,0.65992,0.49948,0.55573,0.38858,1.55096,1.16196,0.95282,6.4092e-05,6.4092e-05,6.4092e-05
47,5789.73,1.59953,1.22656,0.95056,0.6444,0.52636,0.56858,0.39848,1.54698,1.14775,0.95206,5.24496e-05,5.24496e-05,5.24496e-05
48,5841.17,1.59452,1.22781,0.94571,0.61955,0.53568,0.56682,0.39612,1.55212,1.15182,0.95395,4.08072e-05,4.08072e-05,4.08072e-05
49,5886.17,1.62124,1.22916,0.95051,0.62941,0.53438,0.57119,0.40124,1.54018,1.13852,0.95036,2.91648e-05,2.91648e-05,2.91648e-05
50,5924.63,1.60389,1.21117,0.94479,0.65238,0.52942,0.56627,0.39518,1.54968,1.14352,0.95243,1.75224e-05,1.75224e-05,1.75224e-05
